track_name,artist_name,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_uri
Show Me What You Got,G.R.L.,206187,0.00295,0.559,0.713,0,7,0.122,-5.07,1,0.0311,100.011,4,0.571,30,spotify:track:6xIkmrDfxXnaj0oU5o88zk
Every Praise - (album edit),Hezekiah Walker,441547,0.0144,0.557,0.746,0,8,0.252,-6.783,1,0.0306,103.492,4,0.327,50,spotify:track:0nSrUpDjFouhaQB7dOi0h7
Order More,G-Eazy,208827,0.108,0.895,0.437,0,8,0.0929,-8.989,0,0.357,140.014,4,0.802,48,spotify:track:5O2Yjlcs5pSpHq1gcA0cwg
Chandelier (feat. Lauriana Mae) - feat. Lauriana Mae,B.o.B,240080,0.011,0.701,0.75,0.000199,1,0.125,-4.622,0,0.0456,113.473,4,0.568,32,spotify:track:5oBzet0pFpm9tEz5pUmdK1
Who Can I Run To,Xscape,216333,0.483,0.71,0.545,0,4,0.0644,-9.599,1,0.0588,140.233,4,0.632,54,spotify:track:0wdaPticLmmqJdhgLDJ9zI
Wish You Were Here (feat. Stéphane Grapelli),Pink Floyd,371400,0.527,0.46,0.315,0.00542,2,0.125,-12.903,1,0.0347,119.0,4,0.168,0,spotify:track:3KLSlPrgLQeTHwXFfKedU9
Think About You,G-Eazy,179347,0.228,0.725,0.489,7.28e-06,0,0.0854,-12.565,1,0.256,95.154,4,0.361,43,spotify:track:76cdpJtbucm5LkjJ073uwP
Twenty Years,Augustana,266600,0.271,0.386,0.409,0.0184,3,0.106,-6.044,1,0.0313,132.986,4,0.283,34,spotify:track:2xqjlxsJpuRwNnq5iz9sGX
Welcome to the Black Parade,My Chemical Romance,311107,0.000289,0.217,0.905,0.00011,2,0.222,-4.103,1,0.0752,96.95,4,0.236,74,spotify:track:5wQnmLuC1W7ATsArWACrgW
In My Veins - Feat. Erin Mccarley,Andrew Belle,318909,0.198,0.548,0.42,4.46e-06,0,0.0899,-7.842,1,0.0277,128.012,4,0.196,58,spotify:track:7LwGBxB0h0CVmkOZxYKn0g
Talk to Me (Bearson Remix),Ghost Loft,264742,0.0379,0.5,0.69,0.0135,11,0.104,-7.542,1,0.032,96.971,4,0.179,23,spotify:track:3pzmGlzQeAkyjKEfR33yec
Hopeless Romantic,Meghan Trainor,245120,0.738,0.388,0.315,0,0,0.115,-8.247,1,0.0319,175.072,3,0.526,7,spotify:track:0uWvOSAF7HHTof2lwM9Ws9
Jimi Thing,Dave Matthews Band,357173,0.00873,0.612,0.787,1.4e-06,9,0.17,-6.471,1,0.0389,98.563,4,0.674,43,spotify:track:6aLZkgAUXzk1iCWYL4UVev
Light Up - Non-Album Track,Tegan and Sara,139333,0.962,0.783,0.251,0.0315,4,0.0975,-16.778,1,0.0377,107.926,4,0.723,4,spotify:track:7mlljyQlq3a2uK7s2OYffn
Starface,White Zombie,302573,1.52e-05,0.646,0.847,0.404,1,0.266,-10.359,0,0.0409,120.609,4,0.637,28,spotify:track:4TrX6zuhWXSDKOQczUC5um
Solitude Is Bliss,Tame Impala,235840,0.0125,0.594,0.849,7.02e-05,7,0.171,-4.901,1,0.0795,103.985,4,0.694,0,spotify:track:0Ez4Vd9woXEJ9Bp2BQGHCc
The Flight Test / When I See An Elephant Fly (Reprise),Jim Carmichael,56667,0.953,0.371,0.329,0.00607,10,0.137,-12.617,1,0.0298,76.629,4,0.508,17,spotify:track:4aQCvhRC5hvi9P5b6vyOD9
Big Decisions,My Morning Jacket,232947,0.337,0.513,0.874,0.00343,1,0.126,-5.828,1,0.0289,98.003,4,0.586,0,spotify:track:4khStWYsg8yzAku9hgTFW9
Bartender,Lady Antebellum,198267,0.0198,0.631,0.937,7.38e-06,11,0.327,-3.858,0,0.034,101.011,4,0.654,59,spotify:track:6olKv2HP3XgBpvVxAswowe
Pull Up (feat. Lil Uzi Vert),Wiz Khalifa,207391,0.0178,0.852,0.764,0,8,0.336,-4.283,0,0.0631,132.981,4,0.266,49,spotify:track:6LTsvaebP6V9tJFvZxqi5M
At First Sight,Kolohe Kai,226238,0.118,0.742,0.775,0,2,0.35,-4.589,0,0.0446,132.076,4,0.87,16,spotify:track:6mEF0Fc91yEIbOt3bbXnxc
No Lion (feat. Phox),Boom Forest,190733,0.899,0.283,0.208,0,11,0.121,-12.114,1,0.0776,80.45,4,0.109,17,spotify:track:5BDWn90YC8UkZ3IeH9h6um
Bottle It Up - Acoustic Mixtape,Sam Hunt,160707,0.212,0.589,0.638,0,1,0.0799,-5.799,1,0.196,84.682,4,0.796,41,spotify:track:04clw2CZuvRzvV54g6Ua4L
One Last Hope,Danny DeVito,180733,0.604,0.455,0.434,0,7,0.35,-12.936,1,0.464,198.965,4,0.591,0,spotify:track:6O0BuobS0C8fe9NOPXdyZX
There´s No Leaving Now,The Tallest Man On Earth,269973,0.935,0.488,0.185,0,9,0.0949,-7.843,1,0.0399,126.569,3,0.227,0,spotify:track:14Iey63UC7ohaE6d9srFrE
Scream Aim Fire,Bullet For My Valentine,266440,0.000116,0.359,0.994,5.89e-06,2,0.0816,-4.232,1,0.084,100.146,4,0.16,41,spotify:track:5hdOAZuYJWsAGOxBKUHpvu
A Change Is Gonna Come,Trey Songz,425866,0.385,0.48,0.473,4.3e-05,6,0.468,-9.058,1,0.0695,123.403,3,0.231,7,spotify:track:5aFTTpZBOa2tTjS9X0NJJE
Electric Bones,Findlay,192067,0.000911,0.592,0.879,0.00288,1,0.902,-4.365,1,0.0481,94.958,4,0.671,33,spotify:track:1qVRnP3NeKUGkSS5KsQZzr
We Own the Night (feat. Luciana) [Original Mix],Tiësto,269747,0.00235,0.406,0.94,0.572,7,0.297,-3.51,1,0.0863,127.924,4,0.211,28,spotify:track:6ns18ZPBRy4B4n06cplufL
Damn Drunk,Ronnie Dunn,264467,0.0363,0.633,0.729,1.79e-06,0,0.111,-5.135,1,0.0276,103.989,4,0.414,45,spotify:track:3XxtBBMexPb3RRVHPzTgNR
Drown,Seafret,236347,0.518,0.622,0.45,0,0,0.143,-6.304,0,0.0274,137.931,4,0.178,46,spotify:track:7aLtOxVOUahFU8fO25hWoH
"June, After Dark",Elliot Root,219134,0.115,0.59,0.697,0.00308,9,0.121,-6.973,1,0.0356,106.06,4,0.323,51,spotify:track:1nSWQ5Y7OcuGiWGdA1UYlr
A Million Ways,OK Go,193133,0.00041,0.641,0.745,0.287,4,0.108,-4.469,0,0.0397,130.005,4,0.539,43,spotify:track:0n49fCjNGsbtNOE6cuWk79
Can't We Try,Dan Hill,234427,0.454,0.566,0.34,0,9,0.0669,-12.153,0,0.0325,120.092,4,0.306,10,spotify:track:5nph19arSZBQsIHZJXJSH1
Dance (A$$) Remix,Big Sean,220293,0.0276,0.787,0.73,0.00157,11,0.0828,-6.788,0,0.35,159.825,4,0.739,57,spotify:track:3ZAMtgYJFoHwJjFkhkXqKr
Music Is Healing,Florida Georgia Line,211627,0.292,0.497,0.785,0,4,0.19,-4.015,0,0.0399,139.899,4,0.419,37,spotify:track:0uCem3X4V9xZGVzIWw3uKf
Arrastrando Las Patas,Larry Hernández,151393,0.101,0.775,0.764,2.1e-06,2,0.0374,-5.834,1,0.0627,110.406,1,0.853,30,spotify:track:5XmGJzHGZaLMNg7fObxBW9
Big Hearts,The Felix,184085,0.00207,0.499,0.543,0,6,0.0765,-9.632,0,0.0394,131.553,4,0.188,0,spotify:track:3z31bGbh9zThTEXPQqErif
Bouncin On My D*ck,Tyga,195056,0.0341,0.926,0.474,0,0,0.0643,-9.604,1,0.429,95.962,4,0.633,52,spotify:track:3xJj1mU7B83yop2dA03Smk
The Zephyr Song,Red Hot Chili Peppers,231933,0.013,0.725,0.803,3.66e-05,2,0.0891,-4.083,1,0.0337,117.391,4,0.403,68,spotify:track:1ndGB6rvxKYN9seCYO1dTF
I Wonder as I Wander,David Nevue,155507,0.987,0.398,0.0384,0.949,0,0.0809,-25.879,0,0.0608,109.625,4,0.0755,38,spotify:track:0Fepk8qQIo1mCBFSIzm7KT
