track_name,artist_name,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_uri
Outro: Tear,BTS,284981,0.327,0.711,0.903,0,6,0.0887,-2.723,0,0.247,140.015,4,0.467,0,spotify:track:5p10VwQ8LRoyTc8LFrvPw6
Go Go,BTS,235780,0.171,0.856,0.617,0,10,0.0857,-5.308,0,0.0841,136.082,4,0.759,0,spotify:track:1ok4gxOv8cg5WLjWK6TQhD
MIC Drop (Steve Aoki Remix) [Full Length Edition],BTS,307676,0.0114,0.606,0.848,1.06e-06,11,0.206,-3.952,1,0.184,170.01,4,0.54,1,spotify:track:75scDPqGs75FotglJSoOI2
BIRTHDAY,JEON SOMI,185796,0.0163,0.687,0.843,9.96e-06,7,0.0372,-4.242,1,0.109,180.055,4,0.597,0,spotify:track:3jsWXhE5NuPWQ4IHplv2zt
Intro: Serendipity,BTS,139972,0.523,0.476,0.581,0,8,0.201,-8.795,1,0.12,129.568,4,0.282,0,spotify:track:7iV733e1KacKrFRaBNxVEf
YES or YES,TWICE,237685,0.0514,0.702,0.913,3.72e-06,11,0.166,-2.977,1,0.0374,137.981,4,0.735,0,spotify:track:1S6zXoXhfalX2ETKo337Md
Intro : Persona,BTS,171023,0.0278,0.469,0.87,0,9,0.313,-4.475,0,0.342,86.622,4,0.652,0,spotify:track:2isSdmQfVv32j2haL6hk9x
Kill This Love,BLACKPINK,189052,0.318,0.738,0.861,0.00182,2,0.325,-4.141,1,0.237,131.98,4,0.58,1,spotify:track:18PergoIrGmRyeYxnaXJN2
Forever Young,BLACKPINK,237077,0.0423,0.592,0.961,0,4,0.0882,-1.807,1,0.096,109.826,4,0.508,0,spotify:track:56bHclo7YNvpujMveLElQn
As If It's Your Last,BLACKPINK,213264,0.0688,0.786,0.853,0,8,0.0759,-2.687,1,0.0816,125.034,4,0.45,0,spotify:track:1Zyd6zQnC6XIIzmg3hP7Ot
Mikrokosmos,BTS,224225,0.125,0.58,0.858,0,8,0.0502,-5.212,1,0.114,174.039,3,0.475,1,spotify:track:5hnbE5BF2e8BCk9OMR1UVC
gogobebe,MAMAMOO,195856,0.114,0.704,0.787,0,0,0.228,-3.114,1,0.082,96.929,4,0.707,59,spotify:track:6E7jAJN2e3znSHyPCdQqx8
ECLIPSE,GOT7,209519,0.0417,0.596,0.893,0,1,0.315,-3.43,0,0.16,79.889,4,0.526,43,spotify:track:3FoiMgXMrO3D5FeJuotKyZ
Umpah Umpah,Red Velvet,220131,0.0258,0.693,0.935,0,7,0.437,-3.306,1,0.0771,119.973,4,0.844,46,spotify:track:5qSoW3ewNlhRN3FNZPmVns
Egotistic,MAMAMOO,196018,0.315,0.616,0.833,0,3,0.175,-3.314,0,0.067,97.898,4,0.595,61,spotify:track:5Z4aqpT39KpY8gbHoJWdou
WHO DO U LOVE?,MONSTA X,189035,0.28,0.782,0.637,0,10,0.114,-5.63,0,0.264,101.989,4,0.389,49,spotify:track:6YKCEtfZXXyionWJPtT5jb
Gleam,MAMAMOO,184360,0.106,0.772,0.782,0,1,0.0769,-3.84,1,0.14,117.957,4,0.651,0,spotify:track:4dOrfL6qgxnjCMSmkekFhB
See U Later,BLACKPINK,198867,0.0376,0.74,0.926,0,9,0.582,-3.965,0,0.112,106.987,4,0.571,0,spotify:track:1ZPMLCzCwIvLbMFWvYiw4H
Boy in Luv,BTS,230778,0.00262,0.491,0.947,0,0,0.34,-2.252,1,0.306,166.247,4,0.473,0,spotify:track:44gWm1spxejf9cc589qV28
Dream Glow (BTS World Original Soundtrack) - Pt. 1,BTS,187458,0.0967,0.735,0.74,0,0,0.101,-3.837,0,0.0519,141.948,4,0.541,58,spotify:track:4c1WgUnHXq2LEncGHKgj1I
Uh-Oh,(G)I-DLE,207600,0.0586,0.781,0.814,0,11,0.118,-3.315,0,0.0648,92.037,4,0.782,58,spotify:track:1OBb2wZMXKNmtdyyejLIyL
