track_name,artist_name,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_uri
Elenore,The Turtles,151307,0.6,0.63,0.625,1.52e-05,4,0.24,-8.407,1,0.0375,122.504,4,0.887,55,spotify:track:4DWFSrNnZXow1aB96gByho
"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",Johnny Cash,162653,0.0652,0.621,0.524,0.00199,0,0.893,-15.269,1,0.0803,110.586,4,0.889,65,spotify:track:2fDHuS1PTkHBbCWWZF1ph9
Only Time,Enya,218547,0.841,0.418,0.249,0.661,3,0.112,-13.744,1,0.0301,82.803,4,0.213,67,spotify:track:6FLwmdmW77N1Pxb1aWsZmO
It's No Game (Pt. 1) - 2017 Remaster,David Bowie,257467,0.11,0.492,0.798,3.11e-05,7,0.489,-8.638,1,0.0571,101.405,4,0.527,35,spotify:track:6S04qCT9xjWPtgBK4UoPEQ
Sex & Candy,Marcy Playground,173493,0.238,0.67,0.558,0,2,0.106,-9.159,1,0.0251,80.511,4,0.63,67,spotify:track:5mkGfmJGFZpwK9nA5amOhv
Always a Butterfly to Me,The Kicking Heels,53894,0.867,0.542,0.305,0.0271,0,0.159,-10.9,1,0.0525,137.331,4,0.234,0,spotify:track:25YXYxNARWshoAm9zpeGOZ
Don't Touch,Lil Mariko,148000,0.0203,0.76,0.793,0.000702,1,0.719,-5.976,1,0.0874,119.995,4,0.387,34,spotify:track:2VrCgaINz9U7R1bbR1cXYG
Hold My Head,Swain,99120,0.0477,0.6,0.786,0.275,8,0.383,-6.26,0,0.063,127.036,4,0.312,31,spotify:track:3HbDzpmf7M4LXZKRf1m5Bs
Experience,Ludovico Einaudi,315427,0.934,0.447,0.449,0.961,2,0.0697,-10.634,1,0.0376,92.468,4,0.036,75,spotify:track:1BncfTJAWxrsxyT9culBrj
The Wanderer,Dion,168640,0.301,0.59,0.546,0,7,0.0936,-10.213,1,0.0436,114.04,4,0.855,57,spotify:track:3v8d3ku3kiTZVPxEt7a2dE
Covert Discretion,FREEMAN,294813,0.842,0.667,0.218,2.37e-05,7,0.0679,-9.339,1,0.0337,107.825,4,0.352,27,spotify:track:3N2vwyTNgV8YoTFiHX4H9X
The Devil Comes Back to Georgia,Mark O'Connor,253227,0.331,0.559,0.582,0.00113,4,0.261,-13.48,0,0.0415,137.033,4,0.871,38,spotify:track:1nRVfS3M7vkRRjWp9rzIka
Crimson & Clover,Tommy James & The Shondells,209800,0.275,0.456,0.609,0.0198,11,0.108,-11.767,1,0.068,84.441,4,0.682,50,spotify:track:6FEKEO3y7QFcMwoGeR0GtU
Bloody Nose,Earlimart,286227,0.0998,0.465,0.526,0.0553,9,0.114,-7.477,0,0.0241,84.961,4,0.235,11,spotify:track:6pnMH2Y2WaVuirVpajBzrW
